,channel_name,subscribers,views,videos,published_date,channel_title,channel_id
0,DSN- Data Scientists Network(Data Science Nigeria),10000,707922,278,2017-09-13T16:36:47Z,DSN- Data Scientists Network(Data Science Nigeria),UCTi2xuVi9CLx9QryIJYLbaQ
2,freeCodeCamp.org,6150000,412434264,1341,2014-12-16T21:18:48Z,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ
4,codebasics,645000,42421146,539,2015-11-07T17:29:46Z,codebasics,UCh9nVJoWXmFb7sLApWGcLPQ
6,Steve Brunton,215000,11902956,379,2011-10-07T15:57:41Z,Steve Brunton,UCm5mt-A4w61lknZ9lCsZtBw
8,Data Professor,132000,3388292,290,2019-08-17T15:59:56Z,Data Professor,UCV8e2g4IWQqK71bbzGDEI4Q
10,Quantra,17400,1164097,307,2017-10-24T09:53:09Z,Quantra,UCxmc1u5keDVruhrrxXN230w
12,Learn Python with Rune,39400,1080337,197,2020-05-16T13:06:41.250916Z,Learn Python with Rune,UCRcIvjtYDUi5cWjlmjWipcg
14,Microsoft Research,279000,44024455,9029,2008-10-24T22:26:16Z,Microsoft Research,UCCb9_Kn8F_Opb3UCGm-lILQ
16,Data Science with Sharan,6670,105666,132,2020-06-24T02:14:46.918513Z,Data Science with Sharan,UCCR6F6X28Kj00bgPCH9Ct_w
18,ritvikmath,92500,6726980,419,2012-06-14T14:56:55Z,ritvikmath,UCUcpVoi5KkJmnE3bvEhHR0Q
20,Joma Tech,1900000,144450018,102,2016-08-31T22:22:07Z,Joma Tech,UCV0qA-eDDICsRR9rPcnG7tw
22,Mohammed Wais,5,149,6,2014-10-24T17:59:39Z,Mohammed Wais,UCZjQcS44CSULIdUJvZgjvqA
24,"Le blob, l’extra-média",104000,27763486,4555,2009-12-27T15:27:39Z,"Le blob, l’extra-média",UC3E2DhYIqnoc6H3WXwTVnlA
26,365 Data Science,256000,10677782,208,2017-08-07T15:17:05Z,365 Data Science,UCEBpSZhI1X8WaP-kY_2LLcg
28,IIT Roorkee July 2018,136000,18067722,6386,2018-04-11T10:40:36Z,IIT Roorkee July 2018,UCY-ANi3wxkUSGhAel7T0TGw
30,Ken Jee,214000,6808831,237,2014-02-28T14:58:24Z,Ken Jee,UCiT9RITQ9PW6BhXK0y2jaeg
32,NeuralNine,151000,7081442,431,2019-04-04T19:51:52Z,NeuralNine,UC8wZnXYK_CGKlBcZp-GxYPA
34,MarinStatsLectures-R Programming & Statistics,129000,15177829,257,2013-07-26T20:29:56Z,MarinStatsLectures-R Programming & Statistics,UCaNIxVagLhqupvUiDK01Mgg
36,FUN WITH DATA SCIENCE,15100,397779,848,2020-10-04T18:17:59.969515Z,FUN WITH DATA SCIENCE,UCyU1CDYl_NX8nsxCCkKfk3A
38,CFA Institute,38900,84114053,81,2007-06-13T10:45:03Z,CFA Institute,UC8Zy7crsNBL8NJCc_ueF-CA
40,Unfold Data Science,37200,2455476,462,2019-05-04T15:32:32Z,Unfold Data Science,UCh8IuVJvRdporrHi-I9H7Vw
42,The Julia Programming Language,69500,5703005,1538,2013-03-25T12:38:37Z,The Julia Programming Language,UC9IuUwwE2xdjQUT_LMLONoA
44,Mustafa Othman,88300,2597857,338,2011-03-07T19:27:44Z,Mustafa Othman,UCITfscBBm40O9MgtqiQC00w
46,Learn With Arif,4230,392439,203,2012-08-10T12:28:06Z,Learn With Arif,UCMqUl4U_8LwHiXT09_ouzxQ
48,DataCamp,135000,21438621,1291,2014-03-25T14:48:01Z,DataCamp,UC79Gv3mYp6zKiSwYemEik9A
50,IIT Kanpur July 2018,52600,9007582,4471,2018-04-12T04:42:25Z,IIT Kanpur July 2018,UCwCunw0e4YQmmuwPEF7-VsA
52,CodeWithHarry,3170000,377097708,1751,2018-04-28T14:50:54Z,CodeWithHarry,UCeVMnSShP_Iviwkknt83cww
54,Cognitive Class,61800,4367979,171,2012-03-20T13:45:33Z,Cognitive Class,UCoSiBUY5b9ixwuKfS99_rSw
56,PROGRAMMING IN URDU,661,30730,237,2019-09-14T12:29:51Z,PROGRAMMING IN URDU,UC8_mEmKuaH8f8vn6__Cu4PQ
58,David Langer,58900,2443542,110,2011-11-08T19:54:35Z,David Langer,UCRhUp6SYaJ7zme4Bjwt28DQ
60,Steven Skiena,25300,1286912,332,2012-08-08T17:36:26Z,Steven Skiena,UCh27N8m4Jp_rkwx26Q4iclQ
62,Krish Naik,631000,59799267,1471,2012-02-11T04:05:06Z,Krish Naik,UCNU_lfiiWBdtULKOw6X0Dig
64,Nalini Jagtap,650,64215,85,2020-03-31T11:20:21.812149Z,Nalini Jagtap,UCligZ7FAqB0BNmjxmfmXh3g
66,Etisha Garg,67100,4114129,143,2019-01-18T18:43:59Z,Etisha Garg,UCNliY-e1-7VNtuWgrSib1UQ
68,Leonid Zhukov,6120,428546,89,2014-09-30T20:13:49Z,Leonid Zhukov,UCqwvCUUnfyL_MdA_uQPZF_A
70,Masters Of Code,12700,489921,257,2018-10-28T12:25:58Z,Masters Of Code,UCgl2bpqArRPWOc3itVKjACw
72,tastytrade,297000,37898332,5621,2011-04-26T20:54:31Z,tastytrade,UCLJiSMXJ9K-1AOTqIqdXJgQ
74,Rajasekhar Classes,1630,178869,709,2019-06-22T09:02:31Z,Rajasekhar Classes,UC2x3mbRv6I8EeXZ31Nmez0g
76,IIT Madras - BSc Degree Programme,84200,13791197,3134,2020-06-16T06:47:32.487917Z,IIT Madras - BSc Degree Programme,UCvKzzGO37oT83K0FwnUucxw
78,TechNinjas 2.0,3100,476216,319,2020-05-04T09:09:54.367339Z,TechNinjas 2.0,UCrNPtChXsgugled8CI4DzUA
80,Coursera,205000,14748719,569,2012-01-17T06:23:03Z,Coursera,UCZ50rYSkYQG31YDEJm9Di_g
