,channel_name,subscribers,views,videos,channel_title,channel_id
0,Alex The Analyst,268000,10700064,160,Alex The Analyst,UC7cs8q-gJRlGwj4A8OmCmXg
1,Luke Barousse,226000,10414557,77,Luke Barousse,UCLLw7jmFsvfIVaUFsLs8mlQ
2,Thu Vu data analytics,48900,1175293,43,Thu Vu data analytics,UCJQJAI7IjbLcpsjWdSzYz0Q
3,Shashank Kalanithi,101000,4356578,141,Shashank Kalanithi,UCvZnwzmc3m1Eush-Or8Z6DA
4,Sundas Khalid,81700,2844710,58,Sundas Khalid,UCteRPiisgIoHtMgqHegpWAQ
5,Mikarsh Data Analyst,2270,120526,23,Mikarsh Data Analyst,UCPYQ_ukwqU3dB_f05gXQtuA
6,365 Data Science,256000,10670768,208,365 Data Science,UCEBpSZhI1X8WaP-kY_2LLcg
7,DATA SCIENCE LOVERS,11300,470900,67,DATA SCIENCE LOVERS,UCwk47V1XafOrw83d_vwwGhg
8,Data Analyst KSA,89,1151,21,Data Analyst KSA,UCnNyRbwNMbeeom-gGLIDQgg
9,Data Science & Analytics,3,217,2,Data Science & Analytics,UCmLNvYjw8R_ydUOdNXVK6DQ
10,Data Science Preparation Hub,560,31826,28,Data Science Preparation Hub,UC0UPZrdARQxMufFATkfV67A
11,Data Science Jay,28400,1269835,117,Data Science Jay,UCcQx1UnmorvmSEZef4X7-6g
12,Anastasia K,36100,1176013,35,Anastasia K,UCbWVgqVWcthADXHgxXJn1bA
13,Data Science School,176,501,4,Data Science School,UCdcjBJmE7CnTMAD_zNHjmbw
14,Data Science School,176,501,4,Data Science School,UCTkbP1KbfQQlt1sqHJ0GDbA
15,Tina Huang,387000,15180191,106,Tina Huang,UC2UXDak6o7rBm23k3Vv5dww
16,Ken Jee,214000,6804591,237,Ken Jee,UCiT9RITQ9PW6BhXK0y2jaeg
17,Data Analyst,0,7,1,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
18,Data Analyst,0,7,1,Data Analyst,UCVHAYGXptVYD_1hXgdmohvQ
19,Data Analyst,0,7,1,Data Analyst,UCqRNhukhtRzqAKLi4PU7noQ
20,Data Analyst,0,7,1,Data Analyst,UCYxXdWRktQmnpoW9M6LS8GA
21,Data Analyst,0,7,1,Data Analyst,UCewpdIWOiedpGfcyHxvNbtw
22,Data Analyst,0,7,1,Data Analyst,UC2wo1S0CQ3iynnGNDcXaKWw
23,Data Analyst,0,7,1,Data Analyst,UCvWOJZj0O9KenBbNF_RADNQ
24,Data Analyst,0,7,1,Data Analyst,UChIVKSEWCp_57XK4jKGhJiQ
25,Data Analyst,0,7,1,Data Analyst,UCJqK3bPFJr5WVPKvtuZjSdA
26,Data Analyst,0,7,1,Data Analyst,UCSwTlL3FHopn77IwFSEyGzA
27,Data Analyst,0,7,1,Data Analyst,UCjumkEO3LS8qlRZ331DR5HQ
28,Data Analyst,0,7,1,Data Analyst,UCmgMd8uJJF7yW28U1OEzTmg
29,MYANMAR DATA SCIENCE,7290,227181,201,MYANMAR DATA SCIENCE,UC0g9jkx4MwsojJfBt1MnWew
30,Data analyst,2,131,1,Data analyst,UC2374X8xGHHCmKgGYRlcdKQ
31,Data analyst,2,131,1,Data analyst,UCdBfiy8RFDRpXuNGpUv-5ig
32,Data analyst,2,131,1,Data analyst,UCz4fnmjhrdyvVb_mwOpoUOw
33,Krish Naik,630000,59716106,1470,Krish Naik,UCNU_lfiiWBdtULKOw6X0Dig
34,Data Science Career Coach,40000,2343840,1696,Data Science Career Coach,UCcLYXkT37EAs0Ocn1WZ2OxQ
35,codebasics,645000,42370321,538,codebasics,UCh9nVJoWXmFb7sLApWGcLPQ
36,Data analyst,32,3,1,Data analyst,UC2374X8xGHHCmKgGYRlcdKQ
37,Data analyst,32,3,1,Data analyst,UCdBfiy8RFDRpXuNGpUv-5ig
38,Data analyst,32,3,1,Data analyst,UCz4fnmjhrdyvVb_mwOpoUOw
39,Life of a Data Scientist,2150,25773,24,Life of a Data Scientist,UC4RY5nIFI5zD-EbRF1xqpGw
40,Aditi Gupta,1890,68879,47,Aditi Gupta,UCdq65x-0_G8sMhwWNgtmXaQ
41,David Data,538,5688,46,David Data,UChgFPwS74s62ymGX_1usMSA
42,Data & Analytics,61,828,9,Data & Analytics,UC9uEwG25Q7qlRCcpMVJv0NA
43,Data 360 YP,18300,792728,105,Data 360 YP,UCqtValEjW3-Mar0sqiWO_Hw
44,Total Data Science,2110,140287,253,Total Data Science,UC7YlhTyLxk_B1ZcY8CUpCVQ
45,Ali Ahmad,11500,405719,80,Ali Ahmad,UCaDh-eU-lds_d9kS976vBVw
46,Data Analyst,6,98,2,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
47,Data Analyst,6,98,2,Data Analyst,UCVHAYGXptVYD_1hXgdmohvQ
48,Data Analyst,6,98,2,Data Analyst,UCqRNhukhtRzqAKLi4PU7noQ
49,Data Analyst,6,98,2,Data Analyst,UCYxXdWRktQmnpoW9M6LS8GA
50,Data Analyst,6,98,2,Data Analyst,UCewpdIWOiedpGfcyHxvNbtw
51,Data Analyst,6,98,2,Data Analyst,UC2wo1S0CQ3iynnGNDcXaKWw
52,Data Analyst,6,98,2,Data Analyst,UCvWOJZj0O9KenBbNF_RADNQ
53,Data Analyst,6,98,2,Data Analyst,UChIVKSEWCp_57XK4jKGhJiQ
54,Data Analyst,6,98,2,Data Analyst,UCJqK3bPFJr5WVPKvtuZjSdA
55,Data Analyst,6,98,2,Data Analyst,UCSwTlL3FHopn77IwFSEyGzA
56,Data Analyst,6,98,2,Data Analyst,UCjumkEO3LS8qlRZ331DR5HQ
57,Data Analyst,6,98,2,Data Analyst,UCmgMd8uJJF7yW28U1OEzTmg
58,Sports Data Analyst,2,48,4,Sports Data Analyst,UChA5fOAfX904l8Vlt2N6tlQ
59,Ambeone Institute of Data Science and AI,12,1524,64,Ambeone Institute of Data Science and AI,UCoL5JU3DmITRNWVCsVti8kw
60,Learn Data Science Technologies,797,25858,19,Learn Data Science Technologies,UCDYh3SWuUnHcgEWP7ThXgiA
61,Data Analyst,2,4,1,Data Analyst,UCr-eE8o5TjGm7I1gA8N4NIg
