,channel_title,channel_id
0,DSN- Data Scientists Network(Data Science Nigeria),UCTi2xuVi9CLx9QryIJYLbaQ
1,freeCodeCamp.org,UC8butISFwT-Wl7EV0hUK0BQ
2,codebasics,UCh9nVJoWXmFb7sLApWGcLPQ
3,Steve Brunton,UCm5mt-A4w61lknZ9lCsZtBw
4,Data Professor,UCV8e2g4IWQqK71bbzGDEI4Q
5,Quantra,UCxmc1u5keDVruhrrxXN230w
6,Learn Python with Rune,UCRcIvjtYDUi5cWjlmjWipcg
7,Microsoft Research,UCCb9_Kn8F_Opb3UCGm-lILQ
8,Data Science with Sharan,UCCR6F6X28Kj00bgPCH9Ct_w
9,ritvikmath,UCUcpVoi5KkJmnE3bvEhHR0Q
10,Joma Tech,UCV0qA-eDDICsRR9rPcnG7tw
11,Mohammed Wais,UCZjQcS44CSULIdUJvZgjvqA
12,"Le blob, l’extra-média",UC3E2DhYIqnoc6H3WXwTVnlA
13,365 Data Science,UCEBpSZhI1X8WaP-kY_2LLcg
14,IIT Roorkee July 2018,UCY-ANi3wxkUSGhAel7T0TGw
15,Ken Jee,UCiT9RITQ9PW6BhXK0y2jaeg
17,NeuralNine,UC8wZnXYK_CGKlBcZp-GxYPA
18,MarinStatsLectures-R Programming & Statistics,UCaNIxVagLhqupvUiDK01Mgg
19,FUN WITH DATA SCIENCE,UCyU1CDYl_NX8nsxCCkKfk3A
22,CFA Institute,UC8Zy7crsNBL8NJCc_ueF-CA
23,Unfold Data Science,UCh8IuVJvRdporrHi-I9H7Vw
25,The Julia Programming Language,UC9IuUwwE2xdjQUT_LMLONoA
26,Mustafa Othman,UCITfscBBm40O9MgtqiQC00w
27,Learn With Arif,UCMqUl4U_8LwHiXT09_ouzxQ
28,DataCamp,UC79Gv3mYp6zKiSwYemEik9A
29,IIT Kanpur July 2018,UCwCunw0e4YQmmuwPEF7-VsA
30,CodeWithHarry,UCeVMnSShP_Iviwkknt83cww
31,Cognitive Class,UCoSiBUY5b9ixwuKfS99_rSw
32,PROGRAMMING IN URDU,UC8_mEmKuaH8f8vn6__Cu4PQ
33,David Langer,UCRhUp6SYaJ7zme4Bjwt28DQ
34,Steven Skiena,UCh27N8m4Jp_rkwx26Q4iclQ
35,Krish Naik,UCNU_lfiiWBdtULKOw6X0Dig
36,Nalini Jagtap,UCligZ7FAqB0BNmjxmfmXh3g
37,Etisha Garg,UCNliY-e1-7VNtuWgrSib1UQ
38,Leonid Zhukov,UCqwvCUUnfyL_MdA_uQPZF_A
39,Masters Of Code,UCgl2bpqArRPWOc3itVKjACw
40,tastytrade,UCLJiSMXJ9K-1AOTqIqdXJgQ
42,Rajasekhar Classes,UC2x3mbRv6I8EeXZ31Nmez0g
43,IIT Madras - BSc Degree Programme,UCvKzzGO37oT83K0FwnUucxw
44,TechNinjas 2.0,UCrNPtChXsgugled8CI4DzUA
45,Coursera,UCZ50rYSkYQG31YDEJm9Di_g
46,Sarfaraz Se Sikho,UCROAQa7KC82eUkiCDPCqv5g
47,Programming Cradle,UCDW48YM19iwgdkChPFGz36g
48,prasertcbs,UCl4w_st9XiRHqWhnanGjIGg
49,Pradumn Kumar,UC8kPffNEoABhETu1a-Ebu6A
50,Naresh i Technologies,UC4o8Fdpv3g_AjgShAeivqpA
51,Saravanan Subramanian,UCL8On3Vz8LiUK-x1iO5I3aQ
52,Inserm,UCIqFi2jwZI4TIs1hNZz18Mw
53,Derek Banas,UCwRXb5dUK4cvsHbx-rGzSgw
54,KongRuksiam Official,UCQ1r_4x-P-fETLIU4pqf98w
55,Gate Smashers,UCJihyK0A38SZ6SdJirEdIOw
56,Durga Software Solutions,UCbjozK_PYCTLEluFlrJ8UZg
57,Enamul Haque - Digital Deep Dive,UC4Z_sGrzfp0ieHEDCcvXm2g
58,RStudio,UC3xfbCMLCw1Hh4dWop3XtHg
59,Keith Galli,UCq6XkhO5SZ66N04IcPbqNcw
61,Roman Brovko,UCiwYG9Bnxfaipnp5ckCSlQw
62,Learnbay,UC-ntE_GnjjiUuKYqih9ENYA
63,5 Minutes Engineering,UCyHta2dyCTkf29AB67AYn7A
64,معتز سعد | Motaz Saad,UCO1v5hykJ77f0KuQORM9vig
65,Avery Smith - Data Career Jumpstart,UCuyfszBAd3gUt9vAbC1dfqA
67,Mega Bagus Herlambang,UCl1pTA9Td9skCcznyLoTdZA
68,Data Science Dojo,UCzL_0nIe8B4-7ShhVPfJkgw
69,Microsoft Developer,UCsMica-v34Irf9KVTh6xx-g
70,Intellipaat Achievers,UCuKWUhexgd35Sdn9JXb3y1Q
71,Romi Satria Wahono,UC5doOVYHCFxZmNVLh2h8ezg
73,Great Learning,UCObs0kLIrDjX2LLSybqNaEA
74,RR ITEC,UC_iBvyQAZQjSJvUerbL3zOQ
75,KNIMETV,UCRbKmV_XYB7C12SPBokLVHQ
76,Tübingen Machine Learning,UCupmCsCA5CFXmm31PkUhEbA
77,Tirendaz Akademi,UCzH73XJRgK2EQ7COnG8DkyA
78,Hans Schenker,UCYlW9EuQnlNRtEYqVtpfbDw
80,Bill Franks,UCaos6n35_9v_Psw9lBqSRqQ
81,Data Science Festival,UCB02fDSj9GR4rhb1APMNclw
82,MIT OpenCourseWare,UCEBb1b_L6zDS3xTUrIALZOw
85,TIBCO Products,UC_PJ8s4qxrPZNHP0m_O80vw
86,Prabhakaran s,UC1ngG3UMdIYPdqyzaQJIwHg
87,Better Data Science,UCzwWYDA9IuJ7iFrvbZsvRwQ
88,ARTE,UCwI-JbGNsojunnHbFAc0M4Q
91,Simplilearn,UCsvqVGtbbyHaMoevxPAq9Fg
92,Greg Hogg,UCJublDh2UsiIKsAE1553miw
93,edureka!,UCkw4JCwteGrDHIsyIIKo4tQ
94,Data Science,UCHxRt1sueuXyJP3bvOayMqg
95,Zeeshan Usmani,UCllefjGak7WtAV3sVcRy9xQ
96,GeoDa Software,UCzvhOfSmJpRsFRF2Pgrv-Wg
